N,Year,Grand Prix,Grid,NÂ°,Chassis,Engine,Tyre,Lap,Retirement
9,2024,Canada,13,2,Williams FW46,Mercedes V6 t h,Pirelli,23,Accident
8,2024,Miami,17,2,Williams FW46,Mercedes V6 t h,Pirelli,27,Collision
7,2023,Mexico City,19,2,Williams FW45,Mercedes V6 t h,Pirelli,70,Fuel pump
6,2023,Qatar,15,2,Williams FW45,Mercedes V6 t h,Pirelli,40,Exhausted
5,2023,Japan,20,2,Williams FW45,Mercedes V6 t h,Pirelli,22,Undertray
4,2023,Netherlands,10,2,Williams FW45,Mercedes V6 t h,Pirelli,14,Accident
3,2023,Hungary,20,2,Williams FW45,Mercedes V6 t h,Pirelli,67,Withdrew
2,2023,Canada,18,2,Williams FW45,Mercedes V6 t h,Pirelli,6,Oil leak
1,2023,Australia,18,2,Williams FW45,Mercedes V6 t h,Pirelli,56,Collision
,,,,, , ,,,
